California, Precipitation
Units: Inches
Base Period: 1981-2010
Missing: -99
Date,Value,Anomaly
189501,9.25,5.18
189502,2.56,-1.40
189503,2.52,-0.81
189504,1.25,-0.41
189505,1.41,0.45
189506,0.04,-0.30
189507,0.14,-0.04
189508,0.16,-0.07
189509,0.92,0.50
189510,0.49,-0.78
189511,1.61,-1.09
189512,2.53,-1.48
189601,8.02,3.95
189602,0.60,-3.36
189603,3.87,0.54
189604,4.28,2.62
189605,1.93,0.97
189606,0.08,-0.26
189607,0.29,0.11
189608,0.56,0.33
189609,0.47,0.05
189610,1.50,0.23
189611,4.18,1.48
189612,3.73,-0.28
189701,3.12,-0.95
189702,5.89,1.93
189703,4.46,1.13
189704,0.62,-1.04
189705,0.35,-0.61
189706,0.58,0.24
189707,0.11,-0.07
189708,0.24,0.01
189709,0.39,-0.03
189710,1.94,0.67
189711,1.83,-0.87
189712,2.42,-1.59
189801,1.34,-2.73
189802,3.06,-0.90
189803,0.94,-2.39
189804,0.52,-1.14
189805,1.73,0.77
189806,0.48,0.14
189807,0.10,-0.08
189808,0.17,-0.06
189809,0.63,0.21
189810,0.70,-0.57
189811,1.41,-1.29
189812,1.39,-2.62
189901,4.77,0.70
189902,0.81,-3.15
189903,5.45,2.12
189904,0.71,-0.95
189905,0.99,0.03
189906,0.49,0.15
189907,0.06,-0.12
189908,0.22,-0.01
189909,0.13,-0.29
189910,3.46,2.19
189911,4.15,1.45
189912,3.57,-0.44
190001,2.82,-1.25
190002,1.33,-2.63
190003,2.27,-1.06
190004,2.11,0.45
190005,1.53,0.57
190006,0.32,-0.02
190007,0.21,0.03
190008,0.08,-0.15
190009,0.27,-0.15
190010,2.51,1.24
190011,4.82,2.12
190012,1.78,-2.23
190101,5.33,1.26
190102,5.36,1.40
190103,1.14,-2.19
190104,2.29,0.63
190105,1.11,0.15
190106,0.04,-0.30
190107,0.02,-0.16
190108,0.32,0.09
190109,1.09,0.67
190110,1.50,0.23
190111,2.57,-0.13
190112,1.67,-2.34
190201,1.29,-2.78
190202,7.89,3.93
190203,3.20,-0.13
190204,2.11,0.45
190205,0.94,-0.02
190206,0.08,-0.26
190207,0.19,0.01
190208,0.12,-0.11
190209,0.05,-0.37
190210,1.75,0.48
190211,3.97,1.27
190212,3.23,-0.78
190301,4.84,0.77
190302,1.71,-2.25
190303,5.23,1.90
190304,1.06,-0.60
190305,0.29,-0.67
190306,0.21,-0.13
190307,0.04,-0.14
190308,0.09,-0.14
190309,0.24,-0.18
190310,0.50,-0.77
190311,5.02,2.32
190312,1.50,-2.51
190401,1.84,-2.23
190402,7.93,3.97
190403,6.86,3.53
190404,2.23,0.57
190405,0.34,-0.62
190406,0.09,-0.25
190407,0.24,0.06
190408,0.41,0.18
190409,1.41,0.99
190410,2.30,1.03
190411,1.28,-1.42
190412,3.30,-0.71
190501,3.96,-0.11
190502,3.87,-0.09
190503,5.31,1.98
190504,0.95,-0.71
190505,1.84,0.88
190506,0.13,-0.21
190507,0.02,-0.16
190508,0.16,-0.07
190509,0.29,-0.13
190510,0.18,-1.09
190511,2.17,-0.53
190512,1.48,-2.53
190601,6.53,2.46
190602,4.09,0.13
190603,7.79,4.46
190604,1.74,0.08
190605,2.67,1.71
190606,0.77,0.43
190607,0.13,-0.05
190608,0.32,0.09
190609,0.27,-0.15
190610,0.11,-1.16
190611,1.83,-0.87
190612,7.24,3.23
190701,6.50,2.43
190702,3.66,-0.30
190703,8.72,5.39
190704,1.11,-0.55
190705,0.71,-0.25
190706,0.91,0.57
190707,0.05,-0.13
190708,0.20,-0.03
190709,0.16,-0.26
190710,1.70,0.43
190711,0.38,-2.32
190712,4.72,0.71
190801,3.89,-0.18
190802,3.85,-0.11
190803,1.04,-2.29
190804,0.61,-1.05
190805,1.36,0.40
190806,0.19,-0.15
190807,0.11,-0.07
190808,0.31,0.08
190809,0.72,0.30
190810,1.27,0.00
190811,1.69,-1.01
